ticker,event_ticker,market_type,title,subtitle,yes_sub_title,no_sub_title,open_time,close_time,expected_expiration_time,expiration_time,latest_expiration_time,settlement_timer_seconds,status,response_price_units,notional_value,tick_size,yes_bid,yes_ask,no_bid,no_ask,last_price,previous_yes_bid,previous_yes_ask,previous_price,volume,volume_24h,liquidity,open_interest,result,can_close_early,expiration_value,category,risk_limit_cents,strike_type,floor_strike,rules_primary,rules_secondary,custom_strike,settlement_value,cap_strike,fee_waiver_expiration_time
KXCPICOREYOY-24NOV-T3.4,KXCPICOREYOY-24NOV,binary,Will the rate of core CPI inflation be above 3.4% for the year ending in November 2024?,3.4,Above 3.4,Above 3.4,2024-10-24 14:00:00+00:00,2024-12-11 13:25:00+00:00,2024-12-11 15:00:00+00:00,2024-12-18 15:00:00+00:00,2024-12-18 15:00:00+00:00,3600,finalized,usd_cent,100,1,1,5,95,99,1,1,5,1,200,0,0,8,no,True,3.30,,0,greater,3.4,"If the Consumer Price Index (CPI) for All Urban Consumers: All Items less Food and Energy increases by more than 3.4% in the twelve months ending November 2024 (as represented by the one-decimal place value reported by the Bureau of Labor Statistics), then the market resolves to Yes.","In the case of a delay in data caused by a federal government shutdown impacting the reliability of the Source Agency, the market’s latest Expiration Date will be extended to the sooner of the release of the Underlying or six months after the end of the government shutdown.",,,,
KXCPICOREYOY-24NOV-T3.3,KXCPICOREYOY-24NOV,binary,Will the rate of core CPI inflation be above 3.3% for the year ending in November 2024?,3.3,Above 3.3,Above 3.3,2024-10-24 14:00:00+00:00,2024-12-11 13:25:00+00:00,2024-12-11 15:00:00+00:00,2024-12-18 15:00:00+00:00,2024-12-18 15:00:00+00:00,3600,finalized,usd_cent,100,1,36,42,58,64,36,36,42,36,1653,0,-23066,877,no,True,3.30,,0,greater,3.3,"If the Consumer Price Index (CPI) for All Urban Consumers: All Items less Food and Energy increases by more than 3.3% in the twelve months ending November 2024 (as represented by the one-decimal place value reported by the Bureau of Labor Statistics), then the market resolves to Yes.","In the case of a delay in data caused by a federal government shutdown impacting the reliability of the Source Agency, the market’s latest Expiration Date will be extended to the sooner of the release of the Underlying or six months after the end of the government shutdown.",,,,
KXCPICOREYOY-24NOV-T3.2,KXCPICOREYOY-24NOV,binary,Will the rate of core CPI inflation be above 3.2% for the year ending in November 2024?,3.2,Above 3.2,Above 3.2,2024-10-24 14:00:00+00:00,2024-12-11 13:25:00+00:00,2024-12-11 15:00:00+00:00,2024-12-18 15:00:00+00:00,2024-12-18 15:00:00+00:00,3600,finalized,usd_cent,100,1,77,82,18,23,77,77,82,77,126,0,-1040,90,yes,True,3.30,,0,greater,3.2,"If the Consumer Price Index (CPI) for All Urban Consumers: All Items less Food and Energy increases by more than 3.2% in the twelve months ending November 2024 (as represented by the one-decimal place value reported by the Bureau of Labor Statistics), then the market resolves to Yes.","In the case of a delay in data caused by a federal government shutdown impacting the reliability of the Source Agency, the market’s latest Expiration Date will be extended to the sooner of the release of the Underlying or six months after the end of the government shutdown.",,,,
KXCPICOREYOY-24NOV-T3.1,KXCPICOREYOY-24NOV,binary,Will the rate of core CPI inflation be above 3.1% for the year ending in November 2024?,3.1,Above 3.1,Above 3.1,2024-10-24 14:00:00+00:00,2024-12-11 13:25:00+00:00,2024-12-11 15:00:00+00:00,2024-12-18 15:00:00+00:00,2024-12-18 15:00:00+00:00,3600,finalized,usd_cent,100,1,97,99,1,3,99,97,99,99,266,0,0,266,yes,True,3.30,,0,greater,3.1,"If the Consumer Price Index (CPI) for All Urban Consumers: All Items less Food and Energy increases by more than 3.1% in the twelve months ending November 2024 (as represented by the one-decimal place value reported by the Bureau of Labor Statistics), then the market resolves to Yes.","In the case of a delay in data caused by a federal government shutdown impacting the reliability of the Source Agency, the market’s latest Expiration Date will be extended to the sooner of the release of the Underlying or six months after the end of the government shutdown.",,,,
KXCPICOREYOY-24NOV-T3.0,KXCPICOREYOY-24NOV,binary,Will the rate of core CPI inflation be above 3.0% for the year ending in November 2024?,3.0,Above 3.0,Above 3.0,2024-10-24 14:00:00+00:00,2024-12-11 13:25:00+00:00,2024-12-11 15:00:00+00:00,2024-12-18 15:00:00+00:00,2024-12-18 15:00:00+00:00,3600,finalized,usd_cent,100,1,97,100,0,3,99,97,100,99,617,0,0,617,yes,True,3.30,,0,greater,3.0,"If the Consumer Price Index (CPI) for All Urban Consumers: All Items less Food and Energy increases by more than 3.0% in the twelve months ending November 2024 (as represented by the one-decimal place value reported by the Bureau of Labor Statistics), then the market resolves to Yes.","In the case of a delay in data caused by a federal government shutdown impacting the reliability of the Source Agency, the market’s latest Expiration Date will be extended to the sooner of the release of the Underlying or six months after the end of the government shutdown.",,,,
KXCPICOREYOY-24NOV-T2.9,KXCPICOREYOY-24NOV,binary,Will the rate of core CPI inflation be above 2.9% for the year ending in November 2024?,2.9,Above 2.9,Above 2.9,2024-10-24 14:00:00+00:00,2024-12-11 13:25:00+00:00,2024-12-11 15:00:00+00:00,2024-12-18 15:00:00+00:00,2024-12-18 15:00:00+00:00,3600,finalized,usd_cent,100,1,97,100,0,3,99,97,100,99,294,0,0,294,yes,True,3.30,,0,greater,2.9,"If the Consumer Price Index (CPI) for All Urban Consumers: All Items less Food and Energy increases by more than 2.9% in the twelve months ending November 2024 (as represented by the one-decimal place value reported by the Bureau of Labor Statistics), then the market resolves to Yes.","In the case of a delay in data caused by a federal government shutdown impacting the reliability of the Source Agency, the market’s latest Expiration Date will be extended to the sooner of the release of the Underlying or six months after the end of the government shutdown.",,,,
KXCPICOREYOY-24NOV-T2.8,KXCPICOREYOY-24NOV,binary,Will the rate of core CPI inflation be above 2.8% for the year ending in November 2024?,2.8,Above 2.8,Above 2.8,2024-10-24 14:00:00+00:00,2024-12-11 13:25:00+00:00,2024-12-11 15:00:00+00:00,2024-12-18 15:00:00+00:00,2024-12-18 15:00:00+00:00,3600,finalized,usd_cent,100,1,97,100,0,3,99,97,100,99,24,0,0,24,yes,True,3.30,,0,greater,2.8,"If the Consumer Price Index (CPI) for All Urban Consumers: All Items less Food and Energy increases by more than 2.8% in the twelve months ending November 2024 (as represented by the one-decimal place value reported by the Bureau of Labor Statistics), then the market resolves to Yes.","In the case of a delay in data caused by a federal government shutdown impacting the reliability of the Source Agency, the market’s latest Expiration Date will be extended to the sooner of the release of the Underlying or six months after the end of the government shutdown.",,,,
KXCPICOREYOY-24NOV-T2.7,KXCPICOREYOY-24NOV,binary,Will the rate of core CPI inflation be above 2.7% for the year ending in November 2024?,2.7,Above 2.7,Above 2.7,2024-10-24 14:00:00+00:00,2024-12-11 13:25:00+00:00,2024-12-11 15:00:00+00:00,2024-12-18 15:00:00+00:00,2024-12-18 15:00:00+00:00,3600,finalized,usd_cent,100,1,97,100,0,3,99,97,100,99,24,0,0,24,yes,True,3.30,,0,greater,2.7,"If the Consumer Price Index (CPI) for All Urban Consumers: All Items less Food and Energy increases by more than 2.7% in the twelve months ending November 2024 (as represented by the one-decimal place value reported by the Bureau of Labor Statistics), then the market resolves to Yes.","In the case of a delay in data caused by a federal government shutdown impacting the reliability of the Source Agency, the market’s latest Expiration Date will be extended to the sooner of the release of the Underlying or six months after the end of the government shutdown.",,,,
KXCPICOREYOY-24NOV-T2.6,KXCPICOREYOY-24NOV,binary,Will the rate of core CPI inflation be above 2.6% for the year ending in November 2024?,2.6,Above 2.6,Above 2.6,2024-10-24 14:00:00+00:00,2024-12-11 13:25:00+00:00,2024-12-11 15:00:00+00:00,2024-12-18 15:00:00+00:00,2024-12-18 15:00:00+00:00,3600,finalized,usd_cent,100,1,97,100,0,3,99,97,100,99,24,0,0,24,yes,True,3.30,,0,greater,2.6,"If the Consumer Price Index (CPI) for All Urban Consumers: All Items less Food and Energy increases by more than 2.6% in the twelve months ending November 2024 (as represented by the one-decimal place value reported by the Bureau of Labor Statistics), then the market resolves to Yes.","In the case of a delay in data caused by a federal government shutdown impacting the reliability of the Source Agency, the market’s latest Expiration Date will be extended to the sooner of the release of the Underlying or six months after the end of the government shutdown.",,,,
CPIYOY-24JUL-T2.9,CPIYOY-24JUL,binary,Will the rate of CPI inflation be above 2.9% for the year ending in July 2024?,2.9,Above 2.9%,2.9 or below,2024-06-13 21:00:00+00:00,2024-08-14 12:25:00+00:00,2024-08-14 14:00:00+00:00,2024-08-21 14:00:00+00:00,2024-08-21 14:00:00+00:00,3600,finalized,usd_cent,100,1,32,41,59,68,40,38,46,46,17997,2813,0,4457,no,True,2.90,,0,greater,2.9,"If the Consumer Price Index (CPI) increases by more than 2.9% in the twelve months ending July 2024 (as represented by the one-decimal place value reported by the Bureau of Labor Statistics), then the market resolves to Yes.","In the case of a delay in data caused by a federal government shutdown impacting the reliability of the Source Agency, the market’s latest Expiration Date will be extended to the sooner of the release of the Underlying or six months after the end of the
government shutdown",,,,
